,Postcode
0,10110
1,10230
2,10260
3,10110
4,10110
5,10240
6,10110
7,10110
8,10110
9,10110
10,10260
11,10150
12,10250
13,10260
14,10110
15,10240
16,10510
17,10510
18,10700
19,10250
20,10120
21,10120
22,10260
23,10210
24,10240
25,10170
26,10260
27,10600
28,10110
29,10170
30,10510
31,10510
32,10110
33,10110
34,10110
35,10170
36,10250
37,10120
38,10310
39,10310
40,10110
41,10110
42,10110
43,10260
44,10330
45,10110
46,10120
47,10110
48,10240
49,10250
50,10310
51,10310
52,10120
53,10240
54,10400
55,10330
56,10510
57,10150
58,10510
59,10110
60,10120
61,10310
62,10310
63,10160
64,10110
65,10260
66,10300
67,10250
68,10900
69,10250
70,10110
71,10110
72,10110
73,10110
74,10310
75,10260
76,10110
77,10240
78,10110
79,10250
80,10260
